# Canonical UI label catalog (i18n) - PORTABLE SOURCE OF TRUTH.
#
# Applied at startup by UiTranslationSyncService to ANY active database
# (SQLite and PostgreSQL) through JPA: this mechanism keeps localizations
# aligned across the two engines.
#
# RULE: add every NEW UI key HERE, never in DemoDataRepository's
# seedLabelTranslations* methods (SQLite-only SQL, not run under the PostgreSQL profile).
#
# TSV format, one record per line, with seven TAB-separated fields:
#   key <TAB> description <TAB> it <TAB> en <TAB> fr <TAB> es <TAB> de
# All five languages are required and must be non-empty (verified by UiTranslationCatalogTest).
# Empty lines and lines starting with # are ignored. Values cannot contain TAB characters.
# Synchronization is ADDITIVE: it never overwrites translations already present in the database
# (changes made on the Labels page remain intact).
#
affinity.avoid	Livello compatibilità: da evitare	Da evitare	Avoid	À éviter	A evitar	Zu vermeiden
btn.deactivate	Pulsante disattiva	Disattiva	Deactivate	Désactiver	Desactivar	Deaktivieren
user.displayName	Etichetta nome visualizzato utente	Nome visualizzato	Display name	Nom affiché	Nombre mostrado	Anzeigename
user.displayNamePlaceholder	Segnaposto nome visualizzato	Es. Mario Rossi	e.g. Mario Rossi	ex. Mario Rossi	ej. Mario Rossi	z.B. Mario Rossi
user.role	Etichetta ruolo	Ruolo	Role	Rôle	Rol	Rolle
user.lastLogin	Etichetta ultimo accesso	Ultimo accesso	Last login	Dernière connexion	Último acceso	Letzter Login
user.newPassword	Etichetta nuova password	Nuova password (lasciare vuoto per non cambiarla)	New password (leave blank to keep unchanged)	Nouveau mot de passe (laisser vide pour ne pas changer)	Nueva contraseña (dejar vacío para no cambiar)	Neues Passwort (leer lassen um unverändert zu lassen)
user.deactivateTitle	Titolo modale disattiva utente	Disattiva utente	Deactivate user	Désactiver l'utilisateur	Desactivar usuario	Benutzer deaktivieren
user.deactivateMsg	Messaggio disattiva (parte 1)	L'utente	The user	L'utilisateur	El usuario	Der Benutzer
user.deactivateMsg2	Messaggio disattiva (parte 2)	verrà disattivato e non potrà più accedere.	will be deactivated and will no longer be able to sign in.	sera désactivé et ne pourra plus se connecter.	será desactivado y ya no podrá iniciar sesión.	wird deaktiviert und kann sich nicht mehr anmelden.
modal.addUser	Titolo modale nuovo utente	Nuovo utente	New user	Nouvel utilisateur	Nuevo usuario	Neuer Benutzer
modal.editUser	Titolo modale modifica utente	Modifica utente	Edit user	Modifier l'utilisateur	Editar usuario	Benutzer bearbeiten
users.empty	Messaggio nessun utente	Nessun utente.	No users.	Aucun utilisateur.	No hay usuarios.	Keine Benutzer.
toast.userCreated	Toast utente creato	Utente creato.	User created.	Utilisateur créé.	Usuario creado.	Benutzer erstellt.
toast.userSaved	Toast utente aggiornato	Utente aggiornato.	User updated.	Utilisateur mis à jour.	Usuario actualizado.	Benutzer aktualisiert.
toast.userDeactivated	Toast utente disattivato	Utente disattivato.	User deactivated.	Utilisateur désactivé.	Usuario desactivado.	Benutzer deaktiviert.
msg.err.userEmailDuplicate	Email già in uso	Indirizzo email già in uso.	Email address already in use.	Adresse email déjà utilisée.	La dirección de correo ya está en uso.	E-Mail-Adresse bereits vergeben.
msg.err.emailInvalid	Email non valida	Indirizzo email non valido.	Invalid email address.	Adresse email invalide.	Dirección de correo no válida.	Ungültige E-Mail-Adresse.
msg.err.emailAlreadyRegistered	Email già registrata	Questa email è già registrata.	This email is already registered.	Cette adresse email est déjà enregistrée.	Esta dirección de correo ya está registrada.	Diese E-Mail-Adresse ist bereits registriert.
msg.err.otpInvalid	OTP non valido o scaduto	Codice non valido o scaduto.	Invalid or expired code.	Code invalide ou expiré.	Código no válido o caducado.	Ungültiger oder abgelaufener Code.
msg.err.otpAlreadyUsed	OTP già usato	Codice già utilizzato. Richiedine uno nuovo.	Code already used. Request a new one.	Code déjà utilisé. Demandez-en un nouveau.	Código ya utilizado. Solicite uno nuevo.	Code bereits verwendet. Fordern Sie einen neuen an.
msg.err.otpTooMany	Troppi tentativi OTP	Troppi tentativi. Riprova fra qualche minuto.	Too many attempts. Try again in a few minutes.	Trop de tentatives. Réessayez dans quelques minutes.	Demasiados intentos. Inténtelo de nuevo en unos minutos.	Zu viele Versuche. Versuchen Sie es in einigen Minuten erneut.
msg.err.otpSendFailed	Invio OTP fallito	Invio del codice non riuscito. Riprova.	Failed to send the code. Try again.	Échec de l'envoi du code. Réessayez.	No se pudo enviar el código. Inténtelo de nuevo.	Fehler beim Senden des Codes. Versuchen Sie es erneut.
msg.err.otpNotRequired	OTP non richiesto	La verifica email non è richiesta in questa installazione.	Email verification is not required in this installation.	La vérification par email n'est pas requise dans cette installation.	La verificación por correo no es necesaria en esta instalación.	Die E-Mail-Verifizierung ist bei dieser Installation nicht erforderlich.
login.noAccount	Non hai un account?	Non hai un account?	Don't have an account?	Vous n'avez pas de compte ?	¿No tienes una cuenta?	Kein Konto?
login.register	Pulsante registrati	Registrati	Register	S'inscrire	Registrarse	Registrieren
login.inactive	Account inattivo	Account in attesa di approvazione o disattivato. Contatta un amministratore.	Account pending approval or disabled. Contact an administrator.	Compte en attente d'approbation ou désactivé. Contactez un administrateur.	Cuenta pendiente de aprobación o desactivada. Contacte a un administrador.	Konto wartet auf Genehmigung oder ist deaktiviert. Kontaktieren Sie einen Administrator.
register.title	Titolo registrazione	Registrazione	Registration	Inscription	Registro	Registrierung
register.subtitle	Sottotitolo registrazione	Verifica la tua email e crea l'account di gestione turni.	Verify your email and create the shift management account.	Vérifiez votre email et créez le compte de gestion des horaires.	Verifique su correo y cree la cuenta de gestión de turnos.	Bestätigen Sie Ihre E-Mail und erstellen Sie das Schichtverwaltungskonto.
register.email	Etichetta email	Indirizzo email	Email address	Adresse email	Dirección de correo	E-Mail-Adresse
register.sendOtp	Pulsante invia codice	Invia codice	Send code	Envoyer le code	Enviar código	Code senden
register.otp	Etichetta codice	Codice di verifica	Verification code	Code de vérification	Código de verificación	Verifizierungscode
register.otpSentTo	Testo codice inviato a	Inviato a	Sent to	Envoyé à	Enviado a	Gesendet an
register.verifyOtp	Pulsante verifica codice	Verifica codice	Verify code	Vérifier le code	Verificar código	Code überprüfen
register.passwordHint	Suggerimento password	Almeno 8 caratteri.	At least 8 characters.	Au moins 8 caractères.	Al menos 8 caracteres.	Mindestens 8 Zeichen.
register.complete	Pulsante crea account	Crea account	Create account	Créer le compte	Crear cuenta	Konto erstellen
register.doneTitle	Titolo registrazione inviata	Registrazione inviata!	Registration submitted!	Inscription envoyée !	¡Registro enviado!	Registrierung übermittelt!
register.doneBody	Testo attesa approvazione	Un amministratore deve approvare il tuo account prima che tu possa accedere. Riceverai conferma al momento dell'attivazione.	An administrator must approve your account before you can sign in. You will be notified upon activation.	Un administrateur doit approuver votre compte avant que vous puissiez vous connecter. Vous serez prévenu lors de l'activation.	Un administrador debe aprobar su cuenta antes de que pueda iniciar sesión. Se le notificará al activarse.	Ein Administrator muss Ihr Konto genehmigen, bevor Sie sich anmelden können. Sie werden bei der Aktivierung benachrichtigt.
register.backToLogin	Torna al login	Torna al login	Back to login	Retour à la connexion	Volver al inicio de sesión	Zurück zur Anmeldung
register.back	Pulsante indietro	Indietro	Back	Retour	Atrás	Zurück
register.otpSent	Toast codice inviato	Codice inviato. Controlla la tua email.	Code sent. Check your email.	Code envoyé. Vérifiez votre email.	Código enviado. Revise su correo.	Code gesendet. Prüfen Sie Ihre E-Mail.
register.errorGeneric	Errore generico registrazione	Errore durante l'operazione.	An error occurred.	Une erreur est survenue.	Se produjo un error.	Ein Fehler ist aufgetreten.
user.email	Etichetta email utente	Email	Email	Email	Correo	E-Mail
user.pending	Badge in attesa	In attesa	Pending	En attente	Pendiente	Ausstehend
user.activateTitle	Titolo modale approva utente	Approva utente	Approve user	Approuver l'utilisateur	Aprobar usuario	Benutzer genehmigen
user.activateMsg	Messaggio approva (parte 1)	L'utente	The user	L'utilisateur	El usuario	Der Benutzer
user.activateMsg2	Messaggio approva (parte 2)	verrà attivato e potrà accedere all'applicazione.	will be activated and will be able to sign in.	sera activé et pourra se connecter.	será activado y podrá iniciar sesión.	wird aktiviert und kann sich anmelden.
btn.approve	Pulsante approva	Approva / attiva	Approve / activate	Approuver / activer	Aprobar / activar	Genehmigen / aktivieren
toast.userActivated	Toast utente attivato	Utente attivato.	User activated.	Utilisateur activé.	Usuario activado.	Benutzer aktiviert.
msg.err.userLastAdmin	Ultimo amministratore	Non puoi rimuovere l'ultimo amministratore attivo.	You cannot remove the last active administrator.	Vous ne pouvez pas supprimer le dernier administrateur actif.	No puede eliminar al último administrador activo.	Sie können den letzten aktiven Administrator nicht entfernen.
msg.err.accountInactive	Account inattivo	Account in attesa di approvazione o disattivato.	Account pending approval or disabled.	Compte en attente d'approbation ou désactivé.	Cuenta pendiente de aprobación o desactivada.	Konto wartet auf Genehmigung oder ist deaktiviert.
register.firstAdminTitle	Titolo crea amministratore iniziale	Crea l'amministratore iniziale	Create the initial administrator	Créer l'administrateur initial	Crear el administrador inicial	Ersten Administrator erstellen
register.firstAdminSubtitle	Sottotitolo primo amministratore	Sei la prima persona a usare l'applicazione: verifica la tua email e crea l'account amministratore.	You are the first person to use the application: verify your email and create the administrator account.	Vous êtes la première personne à utiliser l'application : vérifiez votre email et créez le compte administrateur.	Eres la primera persona en usar la aplicación: verifica tu correo y crea la cuenta de administrador.	Sie sind die erste Person, die die Anwendung nutzt: Bestätigen Sie Ihre E-Mail und erstellen Sie das Administratorkonto.
register.firstAdminDoneTitle	Titolo amministratore creato	Amministratore creato!	Administrator created!	Administrateur créé !	¡Administrador creado!	Administrator erstellt!
register.firstAdminDoneBody	Testo amministratore creato	Il tuo account amministratore è attivo: puoi accedere subito.	Your administrator account is active: you can sign in now.	Votre compte administrateur est actif : vous pouvez vous connecter dès maintenant.	Su cuenta de administrador está activa: puede iniciar sesión ahora.	Ihr Administratorkonto ist aktiv: Sie können sich jetzt anmelden.
register.firstAdminStandaloneSubtitle	Sottotitolo primo admin standalone	Sei la prima persona a usare l'applicazione: crea le credenziali dell'account amministratore.	You are the first person to use the application: create the administrator account credentials.	Vous êtes la première personne à utiliser l'application : créez les identifiants du compte administrateur.	Eres la primera persona en usar la aplicación: crea las credenciales de la cuenta de administrador.	Sie sind die erste Person, die die Anwendung nutzt: Erstellen Sie die Anmeldedaten des Administratorkontos.
register.standaloneSubtitle	Sottotitolo registrazione standalone	Crea le credenziali del tuo account di gestione turni.	Create the credentials for your shift management account.	Créez les identifiants de votre compte de gestion des horaires.	Cree las credenciales de su cuenta de gestión de turnos.	Erstellen Sie die Anmeldedaten für Ihr Schichtverwaltungskonto.
register.stepEmail	Passo 1 stepper	Email	Email	Email	Correo	E-Mail
register.stepOtp	Passo 2 stepper	Codice	Code	Code	Código	Code
register.stepProfile	Passo 3 stepper	Profilo	Profile	Profil	Perfil	Profil
register.emailHint	Suggerimento email	Ti invieremo un codice di verifica a questo indirizzo.	We will send you a verification code to this address.	Nous vous enverrons un code de vérification à cette adresse.	Le enviaremos un código de verificación a esta dirección.	Wir senden Ihnen einen Verifizierungscode an diese Adresse.
register.resendIn	Testo ri-invio countdown	ri-invio tra	resend in	renvoi dans	reenvío en	erneuter Versand in
register.resendOtp	Pulsante reinvia codice	Reinvia il codice	Resend the code	Renvoyer le code	Reenviar el código	Code erneut senden
register.cambiaEmail	Pulsante cambia email	Cambia email	Change email	Changer d'email	Cambiar correo	E-Mail ändern
register.usernameHint	Validazione username	3-64 caratteri: lettere, numeri, punti, trattini o underscore.	3-64 characters: letters, numbers, dots, dashes or underscores.	3 à 64 caractères : lettres, chiffres, points, tirets ou tirets bas.	3-64 caracteres: letras, números, puntos, guiones o guiones bajos.	3-64 Zeichen: Buchstaben, Zahlen, Punkte, Bindestriche oder Unterstriche.
register.passwordStrength	Etichetta robustezza	Robustezza	Strength	Robustesse	Fortaleza	Stärke
register.pwWeak	Forza debole	Debole	Weak	Faible	Débil	Schwach
register.pwFair	Forza discreta	Discreta	Fair	Moyenne	Aceptable	Mittelmäßig
register.pwGood	Forza buona	Buona	Good	Bonne	Buena	Gut
register.pwStrong	Forza forte	Forte	Strong	Forte	Fuerte	Stark
register.securityNote	Nota sicurezza footer	La tua email viene verificata con un codice monouso. Nessun dato viene condiviso.	Your email is verified with a one-time code. No data is shared.	Votre email est vérifié avec un code à usage unique. Aucune donnée n'est partagée.	Su correo se verifica con un código de un solo uso. No se comparte ningún dato.	Ihre E-Mail wird mit einem Einmalcode verifiziert. Es werden keine Daten geteilt.
config.skills.listHint	Suggerimento tabella Competenze	Le competenze sono contestuali alla struttura. Usa la matita per gestirle.	Skills belong to each structure. Use the pencil to manage them.	Les compétences sont propres à chaque structure. Utilisez le crayon pour les gérer.	Las competencias son propias de cada estructura. Usa el lápiz para gestionarlas.	Die Kompetenzen gehören zur jeweiligen Struktur. Zum Verwalten das Stift-Symbol verwenden.
